Date,Non-motorized,Motorized,Mechanized,Hybrid
12/3/20,3,0,1,0
12/4/20,2,1,1,1
12/5/20,12,2,0,1
12/6/20,10,2,1,0
12/7/20,6,1,3,0
12/8/20,4,0,0,0
12/9/20,5,0,0,0
12/10/20,6,0,0,0
12/11/20,5,2,0,0
12/12/20,NA,NA,NA,NA
12/13/20,28,0,0,4
12/14/20,NA,NA,NA,NA
12/15/20,NA,NA,NA,NA
12/16/20,8,0,0,1
12/17/20,16,0,0,2
12/18/20,23,0,0,3
12/19/20,17,2,0,7
12/20/20,46,0,0,2
12/21/20,29,0,0,5
12/22/20,31,0,0,1
12/23/20,24,0,0,4
12/24/20,32,1,0,2
12/25/20,68,0,1,9
12/26/20,70,0,0,9
12/27/20,68,2,1,7
12/28/20,20,0,0,7
12/29/20,39,0,0,5
12/30/20,37,0,0,3
12/31/21,59,1,0,5
1/1/21,104,0,0,11
1/2/21,58,5,0,14
1/3/21,44,0,0,7
1/4/21,23,0,2,5
1/5/21,NA,NA,NA,NA
1/6/21,33,2,0,6
1/7/21,36,0,0,6
1/8/21,27,0,0,0
1/9/21,38,0,0,14
1/10/21,56,0,0,11
1/11/21,12,0,0,11
1/12/21,16,0,2,10
1/13/21,44,4,0,7
1/14/21,18,0,0,4
1/15/21,40,0,0,3
1/16/21,74,7,0,9
1/17/21,98,0,7,4
1/18/21,42,1,3,11
1/19/21,12,0,0,4
1/20/21,26,1,2,9
1/21/21,4,0,0,0
1/22/21,15,2,1,1
1/23/21,15,0,0,3
1/24/21,22,2,0,14
1/25/21,11,0,1,5
1/26/21,1,0,0,6
1/27/21,13,0,0,5
1/28/21,30,0,0,3
1/29/21,39,2,0,11
1/30/21,40,1,0,4
1/31/21,49,2,0,22
2/2/21,20,0,0,10
2/3/21,4,0,0,7
2/4/21,12,0,0,0
2/5/21,10,0,0,5
2/6/21,64,0,0,9
2/7/21,30,0,0,3
2/8/21,27,0,0,0
2/9/21,38,0,0,14
2/10/21,56,0,0,11
2/11/21,12,0,0,11
2/12/21,16,0,2,10
2/13/21,44,4,0,7
2/14/21,18,0,0,4
2/15/21,40,0,0,3
2/16/21,74,7,0,9
2/17/21,98,0,7,4
2/18/21,42,1,3,11
2/19/21,12,0,0,4
2/20/21,26,1,2,9
2/21/21,14,0,0,3
2/22/21,15,0,0,7
2/23/21,10,3,0,5
2/24/21,31,1,0,3
2/25/21,32,0,0,10
2/26/21,35,0,0,5
2/27/21,47,3,0,9
2/28/21,48,3,1,5
3/1/21,17,1,0,5
3/2/21,28,1,1,4
3/3/21,31,1,0,1
3/4/21,6,0,1,1
3/5/21,51,3,0,6
3/6/21,50,2,0,5
3/7/21,42,4,2,3
3/8/21,25,0,0,2
3/9/21,36,2,0,3
3/10/21,17,1,0,1
3/11/21,34,2,0,5
3/12/21,73,1,1,10
3/13/21,53,0,0,18
3/14/21,34,0,0,3
3/15/21,37,0,0,3
3/16/21,48,0,1,4
3/17/21,44,0,0,4
3/18/21,45,0,0,3
3/19/21,23,0,0,1
3/20/21,55,1,0,0
3/21/21,32,0,0,6
3/22/21,10,0,0,6
3/23/21,30,1,1,5
3/24/21,19,2,0,3
3/25/21,21,1,0,7
3/26/21,25,2,0,2
3/27/21,40,2,0,9
3/28/21,59,0,0,3
3/29/21,28,0,0,1
3/30/21,10,0,0,0
3/31/21,38,0,0,7
4/1/21,16,1,0,5
4/2/21,31,1,0,2
4/3/21,33,0,1,4
4/4/21,34,0,0,2
4/5/21,32,0,0,2
4/6/21,6,0,0,0
4/7/21,15,0,1,2
4/8/21,16,0,0,3
4/9/21,13,0,0,2
4/10/21,15,5,0,5
4/11/21,21,0,0,6
4/12/21,7,0,0,0
4/13/21,8,0,0,3
4/14/21,18,0,0,2
4/15/21,3,0,0,1