Date,Non-motorized,Motorized,Mechanized,Hybrid,,,
12/3/20,1,0,1,0,,,
12/4/20,22,0,1,0,,,
12/5/20,48,0,1,0,,,
12/6/20,30,0,3,0,,,
12/7/20,29,0,1,0,,,
12/8/20,22,0,2,0,,,
12/9/20,25,0,2,0,,,
12/10/20,12,0,5,0,,,
12/11/20,NA,NA,NA,NA,,,
12/12/20,63,0,2,0,,,
12/13/20,12,0,0,0,,,
12/14/20,6,3,0,4,,,
12/15/20,23,2,1,0,,,
12/16/20,24,0,1,0,,,
12/17/20,36,1,1,0,,,
12/18/20,39,1,5,0,,,
12/19/20,78,0,5,0,,,
12/20/20,37,0,1,0,,,
12/21/20,10,0,1,0,,,
12/22/20,NA,NA,NA,NA,,,
12/23/20,21,0,3,0,,,
12/24/20,54,0,3,0,,,
12/25/20,41,0,4,0,,,
12/26/20,53,0,2,0,,,
12/27/20,31,0,0,0,,,
12/28/20,23,0,2,0,,,
12/29/20,29,1,3,0,,,
12/30/21,72,0,0,0,,,
12/31/20,70,0,6,0,,,
1/1/21,69,0,6,0,,,
1/2/21,50,0,3,0,,,
1/3/21,39,0,2,0,,,
1/4/21,NA,NA,NA,NA,,,
1/5/21,NA,NA,NA,NA,,,
1/6/21,26,3,0,0,,,
1/7/21,22,0,2,0,,,
1/8/21,35,0,4,0,,,
1/9/21,59,0,1,0,,,
1/10/21,44,0,2,0,,,
1/11/21,41,0,3,0,,,
1/12/21,22,0,1,0,,,
1/13/21,22,0,0,0,,,
1/14/21,14,0,1,0,,,
1/15/21,47,0,2,0,,,
1/16/21,82,0,6,0,,,
1/17/21,93,0,5,0,,,
1/18/21,44,0,6,0,,,
1/19/21,21,0,1,0,,,
1/20/21,30,0,0,0,,,
1/21/21,27,0,1,0,,,
1/22/21,32,1,1,0,,,
1/23/21,66,1,5,0,,,
1/24/21,30,1,3,0,,,
1/25/21,19,3,0,0,,,
1/26/21,25,1,1,0,,,
1/27/21,13,3,0,0,,,
1/28/21,46,4,4,0,,,
1/29/21,37,1,7,0,,,
1/30/21,62,0,1,0,,,
1/31/21,75,0,2,0,,,
2/1/21,40,3,0,0,,,
2/2/21,29,2,11,0,,,
2/3/21,9,0,0,0,,,
2/4/21,17,0,0,0,,,
2/5/21,35,0,0,0,,,
2/6/21,61,0,4,0,,,
2/7/21,57,2,0,0,,,
2/8/21,57,2,0,0,,,
2/9/21,23,0,2,0,,,
2/10/21,15,1,0,0,,,
2/11/21,NA,NA,NA,NA,,,
2/12/21,38,1,1,0,,,
2/13/21,21,0,1,0,,,
2/14/21,49,0,6,0,,,
2/15/21,25,0,3,0,,,
2/16/21,30,0,2,0,,,
2/17/21,11,0,1,0,,,
2/18/21,22,0,0,0,,,
2/19/21,31,1,7,0,,,
2/20/21,35,2,3,0,,,
2/21/21,51,0,7,0,,,
2/22/21,52,0,5,0,,,
2/23/21,10,1,0,0,,,
2/24/21,27,0,5,0,,,
2/25/21,36,0,2,0,,,
2/26/21,23,0,1,0,,,
2/27/21,63,0,3,0,,,
2/28/21,107,0,3,0,,,
3/1/21,25,0,0,0,,,
3/2/21,24,0,1,1,,,
3/3/21,33,0,3,1,,,
3/4/21,7,0,1,0,,,
3/5/21,52,0,2,1,,,
3/6/21,47,0,6,0,,,
3/7/21,31,0,3,1,,,
3/8/21,7,0,2,0,,,
3/9/21,27,0,4,0,,,
3/10/21,17,0,2,0,,,
3/11/21,24,0,0,1,,,
3/12/21,26,0,4,0,,,
3/13/21,37,0,1,0,,,
3/14/21,17,0,0,0,,,
3/15/21,17,0,2,0,,,
3/16/21,24,0,2,0,,,
3/17/21,9,0,0,0,,,
3/18/21,26,0,0,0,,,
3/19/21,38,0,2,0,,,
3/20/21,23,0,2,0,,,
3/21/21,19,0,1,0,,,
3/22/21,23,1,0,0,,,
3/23/21,14,0,0,0,,,
3/24/21,32,0,2,0,,,
3/25/21,32,0,0,0,,,
3/26/21,26,5,0,0,,,
3/27/21,43,0,4,0,,,
3/28/21,27,0,3,0,,,
3/29/21,14,0,0,0,,,
3/30/21,12,0,2,0,,,
3/31/21,15,0,0,0,,,
4/1/21,27,0,1,0,,,
4/2/21,23,0,0,0,,,
4/3/21,37,0,1,0,,,
4/4/21,26,0,4,0,,,
4/5/21,16,0,2,0,,,
4/6/21,12,0,0,0,,,
4/7/21,10,0,4,0,,,
4/8/21,14,0,3,0,,,
4/9/21,17,0,3,0,,,
4/10/21,21,0,7,0,,,
4/11/21,27,0,4,0,,,
4/12/21,10,0,3,0,,,
4/13/21,7,0,2,0,,,
4/14/21,11,0,0,0,,,
4/15/21,10,0,0,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,