Date,Trailhead,Non-motorized,Motorized,Mechanized,Hybrid,
12/3/20,Washington Gulch,4,1,0,0,
12/4/20,Washington Gulch,13,1,1,0,
12/5/20,Washington Gulch,12,6,0,0,
12/6/20,Washington Gulch,9,0,0,0,
12/7/20,Washington Gulch,6,0,1,0,
12/8/20,Washington Gulch,4,0,0,0,
12/9/20,Washington Gulch,4,0,0,0,
12/10/20,Washington Gulch,1,0,0,0,
12/11/20,Washington Gulch,44,0,0,6,
12/12/20,Washington Gulch,102,10,0,3,
12/13/20,Washington Gulch,5,3,0,1,
12/14/20,Washington Gulch,20,1,0,0,
12/15/20,Washington Gulch,20,1,0,1,
12/16/20,Washington Gulch,19,0,0,0,
12/17/20,Washington Gulch,15,7,0,2,
12/18/20,Washington Gulch,47,8,0,5,
12/19/20,Washington Gulch,74,6,2,4,
12/20/20,Washington Gulch,24,2,1,2,
12/21/20,Washington Gulch,24,2,0,1,
12/22/20,Washington Gulch,28,2,0,5,
12/23/20,Washington Gulch,43,6,0,5,
12/24/20,Washington Gulch,52,1,0,7,
12/25/20,Washington Gulch,66,4,2,6,
12/26/20,Washington Gulch,50,9,0,3,
12/27/20,Washington Gulch,16,0,0,0,
12/28/20,Washington Gulch,32,1,0,0,
12/29/20,Washington Gulch,47,2,0,0,
12/30/20,Washington Gulch,58,9,0,11,
12/31/20,Washington Gulch,91,7,1,6,
1/1/21,Washington Gulch,94,7,1,6,
1/2/21,Washington Gulch,58,5,0,4,
1/3/21,Washington Gulch,54,0,0,11,
1/4/21,Washington Gulch,23,2,0,0,
1/5/21,Washington Gulch,NA,NA,NA,NA,
1/6/21,Washington Gulch,44,2,0,4,
1/7/21,Washington Gulch,31,1,1,4,
1/8/21,Washington Gulch,43,0,0,5,
1/9/21,Washington Gulch,75,9,4,4,
1/10/21,Washington Gulch,77,7,0,4,
1/11/21,Washington Gulch,39,2,0,2,
1/12/21,Washington Gulch,26,6,0,0,
1/13/21,Washington Gulch,16,2,0,0,
1/14/21,Washington Gulch,19,3,0,1,
1/15/21,Washington Gulch,33,2,0,1,
1/16/21,Washington Gulch,84,16,1,0,
1/17/21,Washington Gulch,78,6,1,3,
1/18/21,Washington Gulch,38,3,0,0,
1/19/21,Washington Gulch,17,5,0,0,
1/20/21,Washington Gulch,23,7,0,0,
1/21/21,Washington Gulch,23,4,1,1,
1/22/21,Washington Gulch,19,2,0,0,
1/23/21,Washington Gulch,40,3,0,0,
1/24/21,Washington Gulch,53,4,1,0,
1/25/21,Washington Gulch,25,2,0,0,
1/26/21,Washington Gulch,14,5,1,0,
1/27/21,Washington Gulch,13,1,1,0,
1/28/21,Washington Gulch,19,6,1,0,
1/29/21,Washington Gulch,24,3,0,1,
1/30/21,Washington Gulch,84,11,1,0,
1/31/21,Washington Gulch,64,6,1,0,
2/1/21,Washington Gulch,38,3,0,1,
2/2/21,Washington Gulch,26,0,0,0,
2/3/21,Washington Gulch,NA,NA,NA,NA,
2/4/21,Washington Gulch,NA,NA,NA,NA,
2/5/21,Washington Gulch,26,3,0,0,
2/6/21,Washington Gulch,29,0,0,1,
2/7/21,Washington Gulch,68,2,2,2,
2/8/21,Washington Gulch,33,0,0,0,
2/9/21,Washington Gulch,17,0,0,0,
2/10/21,Washington Gulch,15,1,0,0,
2/11/21,Washington Gulch,33,0,0,0,
2/12/21,Washington Gulch,4,1,0,0,
2/13/21,Washington Gulch,47,2,1,3,
2/14/21,Washington Gulch,62,5,1,3,
2/15/21,Washington Gulch,24,2,0,1,
2/16/21,Washington Gulch,19,6,0,0,
2/17/21,Washington Gulch,30,1,1,0,
2/18/21,Washington Gulch,28,0,0,4,
2/19/21,Washington Gulch,15,0,2,2,
2/20/21,Washington Gulch,53,1,0,0,
2/21/21,Washington Gulch,66,3,0,5,
2/22/21,Washington Gulch,23,2,2,3,
2/23/21,Washington Gulch,28,0,0,1,
2/24/21,Washington Gulch,31,2,0,1,
2/25/21,Washington Gulch,23,3,0,1,
2/26/21,Washington Gulch,26,4,0,5,
2/27/21,Washington Gulch,21,3,0,0,
2/28/21,Washington Gulch,69,3,0,10,
3/1/21,Washington Gulch,29,1,0,1,
3/2/21,Washington Gulch,33,2,0,0,
3/3/21,Washington Gulch,36,5,0,3,
3/4/21,Washington Gulch,17,1,0,0,
3/5/21,Washington Gulch,41,0,0,0,
3/6/21,Washington Gulch,53,5,0,8,
3/7/21,Washington Gulch,52,11,0,2,
3/8/21,Washington Gulch,15,0,0,0,
3/9/21,Washington Gulch,25,1,0,3,
3/10/21,Washington Gulch,15,0,0,0,
3/11/21,Washington Gulch,19,3,0,0,
3/12/21,Washington Gulch,37,1,0,1,
3/13/21,Washington Gulch,41,5,0,0,
3/14/21,Washington Gulch,55,0,0,2,
3/15/21,Washington Gulch,11,10,0,1,
3/16/21,Washington Gulch,22,5,0,4,
3/17/21,Washington Gulch,26,5,0,2,
3/18/21,Washington Gulch,24,7,0,0,
3/19/21,Washington Gulch,40,1,0,2,
3/20/21,Washington Gulch,33,0,1,0,
3/21/21,Washington Gulch,18,0,0,4,
3/22/21,Washington Gulch,26,1,0,0,
3/23/21,Washington Gulch,29,2,0,0,
3/24/21,Washington Gulch,14,8,0,1,
3/25/21,Washington Gulch,17,0,0,1,
3/26/21,Washington Gulch,20,1,0,1,
3/27/21,Washington Gulch,63,2,1,0,
3/28/21,Washington Gulch,28,3,0,3,
3/29/21,Washington Gulch,17,8,0,0,
3/30/21,Washington Gulch,19,1,0,2,
3/31/21,Washington Gulch,27,9,0,0,
4/1/21,Washington Gulch,25,4,0,4,
4/2/21,Washington Gulch,29,2,0,1,
4/3/21,Washington Gulch,30,3,2,10,
4/4/21,Washington Gulch,13,0,0,0,
4/5/21,Washington Gulch,3,0,0,0,
4/6/21,Washington Gulch,3,0,0,0,
4/7/21,Washington Gulch,8,0,0,3,
4/8/21,Washington Gulch,7,0,0,1,
4/9/21,Washington Gulch,13,2,0,9,
4/10/21,Washington Gulch,12,2,0,2,
4/11/21,Washington Gulch,23,0,0,2,
4/12/21,Washington Gulch,8,0,0,4,
4/13/21,Washington Gulch,1,0,0,1,
4/14/21,Washington Gulch,6,3,0,2,
4/15/21,Washington Gulch,3,1,0,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,