# Butte (380) ,,,,,
# Colorado  SNOTEL Site - 10160 ft,,,,,
# Reporting Frequency: Daily, Date Range: 2020-12-04 to 2021-04-15,,,,
#,,,,,
# As of: May 27, 2021 1:01:49 PM GMT-08:00,,,,
#,,,,,
Date,Snow Water Equivalent (in) Start of Day Values,Snow Depth (in) Start of Day Values,Air Temperature Average (degF),,Snow Density (pct) Start of Day Values
date,swe,snow_depth,air_temp,change_depth,snow_density
2020-12-04,2.4,11,29,0,21.8
2020-12-05,2.5,11,32,0,22.7
2020-12-06,2.5,11,30,0,22.7
2020-12-07,2.5,11,33,0,22.7
2020-12-08,2.5,11,34,0,22.7
2020-12-09,2.5,11,32,0,22.7
2020-12-10,2.5,11,28,0,22.7
2020-12-11,2.6,12,20,1,21.7
2020-12-12,2.9,17,12,5,17.1
2020-12-13,3.3,19,10,2,17.4
2020-12-14,3.3,18,18,-1,18.3
2020-12-15,3.5,19,13,1,18.4
2020-12-16,3.5,19,16,0,18.4
2020-12-17,3.5,19,20,0,18.4
2020-12-18,3.8,22,20,3,17.3
2020-12-19,3.9,22,17,0,17.7
2020-12-20,3.9,21,26,-1,18.6
2020-12-21,3.9,20,28,-1,19.5
2020-12-22,4,20,24,0,20
2020-12-23,4.1,22,6,2,18.6
2020-12-24,4.1,21,15,-1,19.5
2020-12-25,4.1,20,25,-1,20.5
2020-12-26,4.1,20,26,0,20.5
2020-12-27,4.2,19,19,-1,22.1
2020-12-28,4.2,20,22,1,21
2020-12-29,4.9,27,15,7,18.1
2020-12-30,4.9,26,10,-1,18.8
2020-12-31,4.9,25,19,-1,19.6
2021-01-01,4.9,24,21,-1,20.4
2021-01-02,4.9,23,19,-1,21.3
2021-01-03,4.9,23,21,0,21.3
2021-01-04,4.9,22,25,-1,22.3
2021-01-05,5,22,23,0,22.7
2021-01-06,5.1,24,18,2,21.2
2021-01-07,5.1,24,23,0,21.2
2021-01-08,5.1,23,20,-1,22.2
2021-01-09,5.1,23,19,0,22.2
2021-01-10,5.1,23,14,0,22.2
2021-01-11,5.1,23,15,0,22.2
2021-01-12,5.1,23,23,0,22.2
2021-01-13,5.1,23,28,0,22.2
2021-01-14,5.1,22,20,-1,23.2
2021-01-15,5.1,22,26,0,23.2
2021-01-16,5.1,22,26,0,23.2
2021-01-17,5.1,22,29,0,23.2
2021-01-18,5.1,22,24,0,23.2
2021-01-19,5.1,22,19,0,23.2
2021-01-20,5.2,23,26,1,22.6
2021-01-21,5.2,23,26,0,22.6
2021-01-22,5.3,25,25,2,21.2
2021-01-23,5.4,26,22,1,20.8
2021-01-24,5.6,29,18,3,19.3
2021-01-25,5.8,29,15,0,20
2021-01-26,5.9,29,13,0,20.3
2021-01-27,6,30,13,1,20
2021-01-28,6,28,27,-2,21.4
2021-01-29,6.1,28,29,0,21.8
2021-01-30,6.2,29,21,1,21.4
2021-01-31,6.3,29,21,0,21.7
2021-02-01,6.3,28,30,-1,22.5
2021-02-02,6.3,28,34,0,22.5
2021-02-03,6.3,27,30,-1,23.3
2021-02-04,7.2,37,14,10,19.5
2021-02-05,7.2,35,16,-2,20.6
2021-02-06,7.5,37,19,2,20.3
2021-02-07,7.5,36,24,-1,20.8
2021-02-08,7.6,35,28,-1,21.7
2021-02-09,7.6,34,28,-1,22.4
2021-02-10,7.7,34,26,0,22.6
2021-02-11,8,37,26,3,21.6
2021-02-12,8.1,37,27,0,21.9
2021-02-13,8.4,38,26,1,22.1
2021-02-14,8.9,43,18,5,20.7
2021-02-15,8.9,43,12,0,20.7
2021-02-16,9,41,17,-2,22
2021-02-17,9.1,42,13,1,21.7
2021-02-18,9.1,41,11,-1,22.2
2021-02-19,9.1,40,18,-1,22.8
2021-02-20,9.2,39,23,-1,23.6
2021-02-21,9.2,39,15,0,23.6
2021-02-22,9.2,39,23,0,23.6
2021-02-23,9.2,38,28,-1,24.2
2021-02-24,9.2,38,23,0,24.2
2021-02-25,9.2,37,20,-1,24.9
2021-02-26,9.2,37,21,0,24.9
2021-02-27,9.2,37,15,0,24.9
2021-02-28,9.2,38,9,1,24.2
2021-03-01,9.2,37,20,-1,24.9
2021-03-02,9.2,36,27,-1,25.6
2021-03-03,9.2,36,31,0,25.6
2021-03-04,9.2,36,28,0,25.6
2021-03-05,9.4,39,30,3,24.1
2021-03-06,9.4,38,32,-1,24.7
2021-03-07,9.4,37,35,-1,25.4
2021-03-08,9.5,37,33,0,25.7
2021-03-09,9.5,37,33,0,25.7
2021-03-10,9.7,39,21,2,24.9
2021-03-11,9.8,40,22,1,24.5
2021-03-12,9.8,39,29,-1,25.1
2021-03-13,9.8,38,27,-1,25.8
2021-03-14,10.2,42,23,4,24.3
2021-03-15,10.2,41,26,-1,24.9
2021-03-16,10.3,40,26,-1,25.8
2021-03-17,10.3,41,25,1,25.1
2021-03-18,10.3,40,29,-1,25.8
2021-03-19,10.3,40,36,0,25.8
2021-03-20,10.4,39,37,-1,26.7
2021-03-21,10.4,38,28,-1,27.4
2021-03-22,10.5,41,26,3,25.6
2021-03-23,10.6,41,24,0,25.9
2021-03-24,10.8,41,24,0,26.3
2021-03-25,10.9,43,23,2,25.3
2021-03-26,11,44,23,1,25
2021-03-27,11,42,25,-2,26.2
2021-03-28,11,42,31,0,26.2
2021-03-29,11.1,40,37,-2,27.8
2021-03-30,11.1,39,23,-1,28.5
2021-03-31,11.1,39,26,0,28.5
2021-04-01,11.1,38,36,-1,29.2
2021-04-02,11.1,37,42,-1,30
2021-04-03,10.8,35,45,-2,30.9
2021-04-04,10.7,34,44,-1,31.5
2021-04-05,10.6,33,44,-1,32.1
2021-04-06,10.3,31,32,-2,33.2
2021-04-07,10,31,33,0,32.3
2021-04-08,9.9,29,39,-2,34.1
2021-04-09,9.6,28,33,-1,34.3
2021-04-10,9.5,26,37,-2,36.5
2021-04-11,9.2,26,39,0,35.4
2021-04-12,8.8,24,38,-2,36.7
2021-04-13,8.4,23,35,-1,36.5
2021-04-14,8.4,23,41,0,36.5
2021-04-15,8.1,22,33,-1,36.8
